id,Event,Distance,Sex,Ranking,Time 1,Miliseconds,Relay,When,Swimmer,id2,Swimmer nationality,nCountry,Continent nationality,nContinent,Date,Meet,Meet location
swim454,100 m breaststroke,100,Male,13,01:06.20,66002,,Final,Nikolai Pankin,Nikolai_Pankin,Soviet Union,39,Europe,264,"Thursday, April 18, 1968",,"Moscow, Soviet Union"
swim456,100 m breaststroke,100,Male,15,01:05.68,65068,,Final,John Hencken,John_Hencken,United States,147,America,154,"Tuesday, August 29, 1972",,"Munich, West Germany"
swim457,100 m breaststroke,100,Male,16,01:05.13,65013,,Final,Nobutaka Taguchi,Nobutaka_Taguchi,Japan,17,Asia,23,"Tuesday, August 29, 1972",,"Munich, West Germany"
swim455,100 m breaststroke,100,Male,14,01:05.80,65008,,Final,Nikolai Pankin,Nikolai_Pankin,Soviet Union,51,Europe,433,"Sunday, April 20, 1969",,"Magdeburg, East Germany"
swim458,100 m breaststroke,100,Male,17,01:04.94,64094,,Final,Nobutaka Taguchi,Nobutaka_Taguchi,Japan,11,Asia,17,"Wednesday, August 30, 1972",,"Munich, West Germany"
swim459,100 m breaststroke,100,Male,18,01:04.35,64035,,Final,John Hencken,John_Hencken,United States,84,America,90,"Tuesday, September 4, 1973",,"Belgrade, Yugoslavia"
swim460,100 m breaststroke,100,Male,19,01:04.02,64002,,Final,John Hencken,John_Hencken,United States,85,America,91,"Tuesday, September 4, 1973",,"Belgrade, Yugoslavia"
swim461,100 m breaststroke,100,Male,20,01:03.88,63088,,Final,John Hencken,John_Hencken,United States,666,America,695,"Saturday, August 31, 1974",,"Concord, United States"
swim462,100 m breaststroke,100,Male,21,01:03.88,63088,,Final,John Hencken,John_Hencken,United States,843,America,875,"Monday, July 19, 1976",,"Montreal, Canada"
swim463,100 m breaststroke,100,Male,22,01:03.62,63062,,Final,John Hencken,John_Hencken,United States,844,America,876,"Monday, July 19, 1976",,"Montreal, Canada"
swim464,100 m breaststroke,100,Male,23,01:03.11,63011,,Final,John Hencken,John_Hencken,United States,130,America,136,"Tuesday, July 20, 1976",,"Montreal, Canada"
swim465,100 m breaststroke,100,Male,24,01:02.86,62086,,Final,Gerald Mˆrken,Gerald_Morken,West Germany,9,Europe,258,"Thursday, August 18, 1977",,"Jˆnkˆping, Sweden"
swim466,100 m breaststroke,100,Male,25,01:02.62,62062,,Final,Steve Lundquist,Steve_Lundquist,United States,839,America,871,"Monday, July 19, 1982",,"Mission Viejo, United States"
swim467,100 m breaststroke,100,Male,26,01:02.53,62053,,Final,Steve Lundquist,Steve_Lundquist,United States,713,America,742,"Saturday, August 21, 1982",,"Indianapolis, United States"
swim468,100 m breaststroke,100,Male,27,01:02.34,62034,,Final,Steve Lundquist,Steve_Lundquist,United States,652,America,680,"Saturday, August 6, 1983",,"Clovis, United States"
swim469,100 m breaststroke,100,Male,28,01:02.28,62028,,Final,Steve Lundquist,Steve_Lundquist,United States,72,America,78,"Wednesday, August 17, 1983",,"Caracas, Venezuela"
swim470,100 m breaststroke,100,Male,29,01:02.13,62013,,Final,John Moffet,John_Moffet,United States,815,America,846,"Monday, June 25, 1984",,"Indianapolis, United States"
swim471,100 m breaststroke,100,Male,30,01:01.65,61065,,Final,Steve Lundquist,Steve_Lundquist,United States,376,America,398,"Sunday, July 29, 1984",,"Los Angeles, United States"
